Stock,Market cap (in Rs Cr.),Current price,PE Ratio,52 Week High,% Below 52 week high,52 Week Low,% Above 52 Week low,Yesterday Closing Price,% Change,,,,,,,,,,,,,,,
TCI Express,6985.58,1795,49.5,2249,20.19%,1444.5,24.26%,1807.4,-0.69%,,,,,,,,,,,,,,,
Zensar Tech,4785.16,211.35,13.73,496.1,57.40%,202,4.63%,212.4,-0.49%,,,,,,,,,,,,,,,
Mastek,5153.96,1714.7,17.12,3410.85,49.73%,1492,14.93%,1693.7,1.24%,,,,,,,,,,,,,,,
Garware technical,6152.59,3024.95,37.14,3754.85,19.44%,2619.8,15.46%,3026.7,-0.06%,,,,,,,,,,,,,,,
GMM Pfaudler,7046.82,1567.45,53.87,2110,25.71%,1256.67,24.73%,1576.95,-0.60%,,,,,,,,,,,,,,,
Sterlite technology,6810.59,171, ,279.7,38.86%,128.6,32.97%,170.15,0.50%,,,,,,,,,,,,,,,
Orient Electric,5679.58,267.2,53.9,372.2,28.21%,244,9.51%,268.4,-0.45%,,,,,,,,,,,,,,,
Avanti Feed,5305.40,389.4,21.44,638.8,39.04%,364.1,6.95%,388.7,0.18%,,,,,,,,,,,,,,,
Cera Sanitaryware,6919.97,5294,37,6067.95,12.75%,3518.6,50.46%,5320,-0.49%,,,,,,,,,,,,,,,
craftsman automation,7324.34,3465.1,35.75,3709.95,6.60%,1845,87.81%,3461.8,0.10%,,,,,,,,,,,,,,,
Bharat Rasayan,3941.67,9517.9,23.12,14362.9,33.73%,9301,2.33%,9497.7,0.21%,,,,,,,,,,,,,,,
Heidelberg Cement,4230.87,186.9,23.18,242,22.77%,164,13.96%,186.85,0.03%,,,,,,,,,,,,,,,
Astec Lifesciences,3279.73,1669.3,33.56,2285.65,26.97%,1276.15,30.81%,1635.25,2.08%,,,,,,,,,,,,,,,
Aarti Drugs,4148.48,448,22.17,537.4,16.64%,378.4,18.39%,445.5,0.56%,,,,,,,,,,,,,,,
Data Pattern,6367.83,1227.1,59.65,1480,17.09%,575,113.41%,1161.25,5.67%,,,,,,,,,,,,,,,
Thyrocare,3024.43,571.8,35.81,1087,47.40%,562.1,1.73%,574.7,-0.50%,,,,,,,,,,,,,,,
Neogen Chemcial,3099.33,1242.8,68.51,1842.2,32.54%,1201.25,3.46%,1229.5,1.08%,,,,,,,,,,,,,,,
Dhanuka Agritech,3345.72,717.5,15.26,815,11.96%,630.65,13.77%,724.95,-1.03%,,,,,,,,,,,,,,,
Advance Enzymes,3094.10,276.7,32.26,354.9,22.03%,258.4,7.08%,278.9,-0.79%,,,,,,,,,,,,,,,
Wipro,2618.52,393.65,19.15,666,40.89%,372.4,5.71%,394.45,-0.20%,,,,,,,,,,,,,,,
Newgen,2664.21,382.15,17.49,671,43.05%,320.85,19.11%,362.3,5.48%,,,,,,,,,,,,,,,
Sequent Science,2119.46,85.4,302.86,204.45,58.23%,81.4,4.91%,85.45,-0.06%,,,,,,,,,,,,,,,
Mold tech,3279.61,988.1,41.73,1057.85,6.59%,648.05,52.47%,991.35,-0.33%,,,,,,,,,,,,,,,
Tasty Bite Eatable,2676.34,10430,139.72,14131.25,26.19%,8050,29.57%,10411.1,0.18%,,,,,,,,,,,,,,,
Heranba,1923.45,481.35,10.9,744.15,35.32%,477.8,0.74%,481.85,-0.10%,,,,,,,,,,,,,,,
Paras Defense,2250.91,577.8,67.14,811.35,28.79%,524.3,10.20%,583.75,-1.02%,,,,,,,,,,,,,,,
Gokaldas Export,2340.13,386,13.46,519.55,25.70%,301.1,28.20%,381.5,1.18%,,,,,,,,,,,,,,,
Somany home innovation ltd,3335.19,462.25,33.36,480.4,3.78%,258.95,78.51%,473.2,-2.31%,,,,,,,,,,,,,,,
Tata Motor,1794.64,411.45, ,528.35,22.13%,366.05,12.40%,412.2,-0.18%,,,,,,,,,,,,,,,
